target,setsize,resp,rt,sub,correct
Present,8,2,4.547734758,3,0
Present,16,1,2.641855414,3,1
Present,12,1,1.288896984,3,1
Present,8,1,1.535976427,3,1
Present,12,1,1.735984001,3,1
Present,16,2,3.853651187,3,0
Absent,12,2,1.936019964,3,1
Absent,16,2,2.712473397,3,1
Absent,12,2,2.86538011,3,1
Present,12,1,3.406553401,3,1
Absent,12,2,2.959477364,3,1
Absent,8,2,3.688926752,3,1
Absent,16,2,4.35952252,3,1
Absent,12,2,1.841851738,3,1
Absent,16,2,3.830075829,3,1
Present,8,1,0.841860627,3,1
Present,8,1,0.830009183,3,1
Present,12,1,0.665431249,3,1
Absent,12,2,1.924207423,3,1
Absent,8,2,3.488936897,3,1
Absent,8,2,1.571254576,3,1
Present,16,1,1.006554682,3,1
Absent,8,2,1.947739975,3,1
Present,8,1,1.33595211,3,1
Present,16,1,1.07715549,3,1
Absent,8,2,1.830090971,3,1
Present,8,1,2.230083308,3,1
Present,12,2,2.547804336,3,0
Absent,16,2,3.171255549,3,1
Absent,16,2,1.924211743,3,1
Present,16,2,2.794794845,3,0
Present,16,2,3.288912938,3,0
Present,12,1,1.077170933,3,1
Absent,8,2,1.947728387,3,1
Absent,16,2,2.959511185,3,1
Present,12,1,3.783049371,3,1
Absent,16,2,4.535981038,3,1
Absent,8,2,2.91247044,3,1
Present,8,1,1.041839666,3,1
Absent,12,2,1.583023109,3,1
Present,16,1,2.430088382,3,1
Present,8,2,4.194819501,3,0
Absent,8,2,2.371264947,3,1
Absent,16,2,3.559577628,3,1
Absent,12,2,2.37123062,3,1
Present,16,-1,4.994206646,3,0
Present,16,1,2.347746612,3,1
Absent,8,2,1.030077052,3,1
Present,12,2,1.924241516,3,0
Present,8,1,1.441818867,3,1
Present,8,1,2.077136491,3,1
Absent,16,2,3.535978905,3,1
Present,8,1,0.900622361,3,1
Absent,8,2,1.794782119,3,1
Absent,12,2,2.077210365,3,1
Present,12,2,2.218331912,3,0
Absent,16,2,2.53598361,3,1
Absent,12,2,3.98303759,3,1
Present,16,1,1.47713706,3,1
Absent,12,2,2.653672181,3,1
Present,12,1,0.947733875,3,1
Present,8,1,3.088926812,3,1
Present,12,1,2.135980312,3,1
Present,12,1,2.065391972,3,1
Present,16,2,2.288927266,3,0
Absent,16,2,2.735986359,3,1
Absent,8,2,3.100665028,3,1
Present,16,1,0.630105351,3,1
Present,8,1,1.547788189,3,1
Absent,12,2,2.500674286,3,1
Present,8,1,1.065348023,3,1
Present,12,1,2.088881867,3,1
Absent,8,2,2.041831313,3,1
Absent,8,2,1.641864632,3,1
Present,16,1,2.677149861,3,1
Absent,12,2,3.218337227,3,1
Present,16,1,1.535960997,3,1
Absent,8,2,3.088932637,3,1
Absent,12,2,2.159511383,3,1
Absent,16,2,2.324255035,3,1
Absent,12,2,3.288905001,3,1
Absent,16,2,2.630097533,3,1
Present,8,1,0.900646849,3,1
Present,12,1,2.053617787,3,1
Present,12,1,1.230087082,3,1
Absent,16,2,2.853647067,3,1
Absent,12,2,2.488935253,3,1
Present,16,1,0.818307321,3,1
Absent,8,2,2.335968563,3,1
Present,8,2,4.677172419,3,0
Absent,16,2,2.018326092,3,1
Present,8,1,1.230134248,3,1
Present,8,1,0.794797309,3,1
Present,12,1,1.147726928,3,1
Present,16,2,1.465370744,3,0
Absent,8,2,1.653623118,3,1
Present,16,2,1.959503275,3,0
Present,16,2,2.841860557,3,0
Absent,16,2,2.524262163,3,1
Present,12,2,3.230125266,3,0
Absent,12,2,2.183063842,3,1
Absent,8,2,2.335982013,3,1
Absent,8,2,2.512447481,3,1
Absent,16,2,3.418362534,3,1
Absent,8,2,2.93597232,3,1
Absent,8,2,1.79478676,3,1
Absent,12,2,2.477154507,3,1
Present,16,2,2.665389205,3,0
Present,8,1,2.912480076,3,1
Absent,12,2,4.147760255,3,1
Absent,16,-1,4.994197634,3,0
Present,8,1,1.312442221,3,1
Absent,12,2,1.265378233,3,1
Present,8,1,1.712461789,3,1
Present,16,1,1.053612151,3,1
Present,12,1,1.28890536,3,1
Absent,12,2,1.841804116,3,1
Absent,16,2,2.041853886,3,1
Absent,16,2,3.394809318,3,1
Present,12,1,2.300673156,3,1
Present,12,1,0.983028027,3,1
Absent,12,2,2.077134937,4,1
Present,12,1,1.171241381,4,1
Absent,8,2,1.14772964,4,1
Present,16,1,1.747779297,4,1
Present,12,2,1.994801268,4,0
Present,16,1,0.91242475,4,1
Present,8,1,1.171243268,4,1
Present,16,1,2.571259486,4,1
Absent,8,2,1.218334373,4,1
Absent,16,2,2.794793111,4,1
Absent,12,2,2.124224274,4,1
Present,12,1,3.241865905,4,1
Absent,16,2,2.747728831,4,1
Absent,12,2,2.900743995,4,1
Absent,12,2,3.488877293,4,1
Absent,16,2,3.888917489,4,1
Absent,8,2,3.736012087,4,1
Present,16,1,1.053626787,4,1
Present,12,1,2.006567749,4,1
Absent,8,2,3.488963573,4,1
Present,12,1,4.183070654,4,1
Present,8,1,2.241881734,4,1
Absent,8,2,2.135961861,4,1
Absent,16,2,2.983027889,4,1
Absent,12,2,4.253722502,4,1
Present,8,1,1.688930687,4,1
Present,8,1,1.547723798,4,1
Present,16,1,2.547763674,4,1
